Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
"C1, C10, C15, C17, C2, C5, C8, C9",0805,8,100nF,
"C11, C12",0805,2,18pF,
"C13, C16, C6, C7",0805,4,1uF,
C14,0805,1,1pF,
C18,0805,1,2.2uF,
"C3, C4",0805,2,10uF,
J1,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"J4, J5",PinSocket_1x08_P2.54mm_Vertical,2,Conn_01x08,
L1,L0603,1,BLM18KG601SN1D,C85833
L2,L0402,1,SDCL1005C2N7STDF,C27123
L3,L0603,1,SDCL1608C3N9STDF,C13818
"R1, R2",0805,2,5.1K,
"R3, R4, R5",0805,3,10K,
R6,0805,1,50,
"SW1, SW2",SW-SMD_2P-TS24CA,2,TS24CA,C393942
TP1,TestPoint_Pad_D1.0mm,1,TestPoint,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,1,ESP32-C3,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,QFN-24_L4.0-W4.0-P0.50-BL-EP2.7,1,MPU-6050_C24112,C24112
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,3225 40M 12PF 10PPM,C5380316
